!!
!!
!! number of constraints for nodes with 12 coordinates:
68
!!
!!
!! constraints for nodes with 12 coordinates: sort (1), nodes (2, 3), phi1 (4, 5, 6), phi2 (7, 8, 9), dir (10, 11, 12):
rigidsupport	3	0	   0.00000d0	   0.00000d0	   0.00000d0	   0.00000d0	   0.00000d0	   0.00000d0	   0.00000d0	   0.00000d0	   0.00000d0	
rigidconnection	23	24	   0.00000d0	   0.00000d0	   0.00000d0	   0.00000d0	   0.00000d0	   0.00000d0	   0.00000d0	   0.00000d0	   0.00000d0	
rigidconnection	34	1	   4.72000d0	   0.00000d0	   4.27500d0	   0.00000d0	   0.00000d0	   0.00000d0	   0.00000d0	   0.00000d0	   0.00000d0	
revolutejoint	1	2	 -16.68539d0	   0.00000d0	   1.33207d0	   0.00000d0	   0.00000d0	   0.00000d0	  -0.99452d0	   0.00000d0	   0.10453d0	
rigidconnection	2	35	   0.29343d0	  -0.29343d0	   3.94825d0	   0.00000d0	   0.00000d0	   0.00000d0	   0.00000d0	   0.00000d0	   0.00000d0	
rigidconnection	2	46	  -2.57784d0	  -2.28440d0	  -1.97413d0	   0.00000d0	   0.00000d0	   0.00000d0	   0.00000d0	   0.00000d0	   0.00000d0	
rigidconnection	2	57	   2.28440d0	   2.57784d0	  -1.97413d0	   0.00000d0	   0.00000d0	   0.00000d0	   0.00000d0	   0.00000d0	   0.00000d0	
internal	1	0	   0.00000d0	   0.00000d0	   0.00000d0	   0.00000d0	   0.00000d0	   0.00000d0	   0.00000d0	   0.00000d0	   0.00000d0	
internal	2	0	   0.00000d0	   0.00000d0	   0.00000d0	   0.00000d0	   0.00000d0	   0.00000d0	   0.00000d0	   0.00000d0	   0.00000d0	
internal	4	0	   0.00000d0	   0.00000d0	   0.00000d0	   0.00000d0	   0.00000d0	   0.00000d0	   0.00000d0	   0.00000d0	   0.00000d0	
internal	5	0	   0.00000d0	   0.00000d0	   0.00000d0	   0.00000d0	   0.00000d0	   0.00000d0	   0.00000d0	   0.00000d0	   0.00000d0	
internal	6	0	   0.00000d0	   0.00000d0	   0.00000d0	   0.00000d0	   0.00000d0	   0.00000d0	   0.00000d0	   0.00000d0	   0.00000d0	
